Time,Alt,V-Speed,V-Acc,H-Speed,H-Acc,Fuel,Weight,Angle,A-Speed,A-Acc
   0s,30000,-24.80m/s, 0.00m/s²,1700.00m/s, 0.00m/s²,210,375,90.00°,0,0
  10s,29779.14,-25.03m/s,-0.40m/s²,1684.84m/s,-1.69m/s²,208,373,89.52°,-0.09,-0.01
  20s,29533.43,-23.94m/s, 1.30m/s²,1667.91m/s,-1.70m/s²,205.78,370.78,88.05°,-0.19,-0.01
  30s,29289.41,-24.52m/s,-0.40m/s²,1650.87m/s,-1.71m/s²,203.56,368.56,85.60°,-0.29,-0.01
  40s,29043.05,-25.09m/s,-0.40m/s²,1633.73m/s,-1.72m/s²,201.34,366.34,82.54°,-0.31,0
  50s,28797.15,-23.91m/s, 1.33m/s²,1616.49m/s,-1.73m/s²,199.12,364.12,79.48°,-0.31,0
  60s,28551.96,-24.43m/s,-0.40m/s²,1599.14m/s,-1.74m/s²,196.9,361.9,76.43°,-0.31,0
  70s,28306.84,-24.94m/s,-0.40m/s²,1581.68m/s,-1.75m/s²,194.68,359.68,73.37°,-0.31,0
  80s,28061.17,-23.66m/s, 1.36m/s²,1564.12m/s,-1.76m/s²,192.46,357.46,70.31°,-0.31,0
  90s,27816.94,-24.12m/s,-0.40m/s²,1546.44m/s,-1.77m/s²,190.24,355.24,67.25°,-0.31,0
 100s,27571.75,-24.56m/s,-0.40m/s²,1528.66m/s,-1.78m/s²,188.02,353.02,64.20°,-0.31,0
 110s,27325.84,-24.98m/s,-0.40m/s²,1510.76m/s,-1.79m/s²,185.8,350.8,61.14°,-0.31,0
 120s,27079.44,-25.38m/s,-0.40m/s²,1492.75m/s,-1.81m/s²,183.58,348.58,58.08°,-0.31,0
 130s,26833.7,-23.94m/s, 1.42m/s²,1474.63m/s,-1.82m/s²,181.36,346.36,55.03°,-0.31,0
 140s,26588.89,-24.29m/s,-0.40m/s²,1456.39m/s,-1.83m/s²,179.14,344.14,51.97°,-0.31,0
 150s,26344.35,-24.62m/s,-0.40m/s²,1438.03m/s,-1.84m/s²,176.92,341.92,48.91°,-0.31,0
 160s,26100.33,-24.92m/s,-0.40m/s²,1419.55m/s,-1.85m/s²,174.7,339.7,45.85°,-0.31,0
 170s,25855.23,-25.21m/s,-0.40m/s²,1400.95m/s,-1.87m/s²,172.48,337.48,42.80°,-0.31,0
 180s,25610.25,-23.59m/s, 1.48m/s²,1382.22m/s,-1.88m/s²,170.26,335.26,39.74°,-0.31,0
 190s,25365.63,-23.82m/s, 1.49m/s²,1363.38m/s,-1.89m/s²,168.04,333.04,36.68°,-0.31,0
 200s,25122.6,-24.02m/s,-0.40m/s²,1344.40m/s,-1.90m/s²,165.82,330.82,33.63°,-0.31,0
 210s,24877.61,-24.20m/s,-0.40m/s²,1325.30m/s,-1.92m/s²,163.6,328.6,30.57°,-0.31,0
